{'style': {'M2MM': 50000.0, 'MM2M': 10000.0}, 'dis': {'M': 0.5, 'MM': 0.5}, 'gen': {'M': 0.5, 'MM': 1.0}, 'recon': 5, 'consis': 1, 'content': 1}
[81/100] D: 1.14|G: 1.71|Recon: 1.38|Consis: 0.53|Content: 2.29|Style: 9.37|T: 4.19|| M2MM: 0.00|MM2M: 0.00| experiment_name
[82/100] D: 0.99|G: 2.72|Recon: 1.44|Consis: 0.59|Content: 2.78|Style: 9.63|T: 4.18|| M2MM: 0.00|MM2M: 0.00| experiment_name
[83/100] D: 0.91|G: 2.37|Recon: 1.49|Consis: 0.55|Content: 2.45|Style: 8.40|T: 4.62|| M2MM: 0.00|MM2M: 0.00| experiment_name
[84/100] D: 0.78|G: 1.80|Recon: 1.50|Consis: 0.56|Content: 2.39|Style: 8.64|T: 4.74|| M2MM: 0.00|MM2M: 0.00| experiment_name
[85/100] D: 0.86|G: 2.54|Recon: 1.31|Consis: 0.57|Content: 2.41|Style: 8.25|T: 3.54|| M2MM: 0.00|MM2M: 0.00| experiment_name
[86/100] D: 0.80|G: 2.67|Recon: 1.36|Consis: 0.54|Content: 2.28|Style: 8.10|T: 3.86|| M2MM: 0.00|MM2M: 0.00| experiment_name
[87/100] D: 0.77|G: 2.34|Recon: 1.28|Consis: 0.54|Content: 2.30|Style: 8.69|T: 3.32|| M2MM: 0.00|MM2M: 0.00| experiment_name
[88/100] D: 0.88|G: 2.63|Recon: 1.31|Consis: 0.52|Content: 2.30|Style: 8.44|T: 3.89|| M2MM: 0.00|MM2M: 0.00| experiment_name
[89/100] D: 0.90|G: 2.52|Recon: 1.29|Consis: 0.54|Content: 2.54|Style: 8.53|T: 3.55|| M2MM: 0.00|MM2M: 0.00| experiment_name
[90/100] D: 0.86|G: 1.53|Recon: 1.16|Consis: 0.51|Content: 5.57|Style: 13.42|T: 4.01|| M2MM: 0.00|MM2M: 0.00| experiment_name
[91/100] D: 1.00|G: 3.18|Recon: 1.17|Consis: 0.50|Content: 2.91|Style: 9.70|T: 3.05|| M2MM: 0.00|MM2M: 0.00| experiment_name
[92/100] D: 0.96|G: 3.08|Recon: 1.34|Consis: 0.50|Content: 2.76|Style: 8.70|T: 3.24|| M2MM: 0.00|MM2M: 0.00| experiment_name
[93/100] D: 1.10|G: 2.48|Recon: 1.20|Consis: 0.51|Content: 2.24|Style: 8.90|T: 2.92|| M2MM: 0.00|MM2M: 0.00| experiment_name
[94/100] D: 0.67|G: 2.22|Recon: 1.25|Consis: 0.54|Content: 2.46|Style: 8.68|T: 2.87|| M2MM: 0.00|MM2M: 0.00| experiment_name
[95/100] D: 0.69|G: 2.13|Recon: 1.24|Consis: 0.46|Content: 2.06|Style: 7.51|T: 4.13|| M2MM: 0.00|MM2M: 0.00| experiment_name
[96/100] D: 0.64|G: 2.45|Recon: 1.21|Consis: 0.49|Content: 2.07|Style: 8.02|T: 3.18|| M2MM: 0.00|MM2M: 0.00| experiment_name
[97/100] D: 0.54|G: 3.01|Recon: 1.16|Consis: 0.50|Content: 2.40|Style: 7.71|T: 3.62|| M2MM: 0.00|MM2M: 0.00| experiment_name
[98/100] D: 0.51|G: 3.08|Recon: 1.25|Consis: 0.52|Content: 2.35|Style: 8.38|T: 3.22|| M2MM: 0.00|MM2M: 0.00| experiment_name
[99/100] D: 0.68|G: 2.70|Recon: 1.06|Consis: 0.47|Content: 1.95|Style: 8.32|T: 2.95|| M2MM: 0.00|MM2M: 0.00| experiment_name
======================================================
Step: 6 | Acc: 0.250% (5/2000)
======================================================
======================================================
Step: 6 | Acc: 10.950% (219/2000)
======================================================
